Strike,Bid,Ask,Last,% Change,Mid,Impl Vol%,Open Int,Delta,Gamma,Theta,OTM %,Volume,
510,20.85,21.10,19.85,-48.37,20.98,35.25,46,0.5004,0.0072,-0.3163,55.06,2131,
515,18.06,18.30,17.85,-50.44,18.18,34.29,14,0.4628,0.0074,-0.3062,58.75,815,
520,15.47,15.71,14.64,-52.03,15.59,33.36,68,0.4239,0.0075,-0.2936,62.52,743,
525,13.09,13.33,13.11,-54.29,13.21,32.46,12,0.3841,0.0075,-0.2784,66.34,727,
527,12.20,12.44,11.46,-41.41,12.32,32.12,0,0.3681,0.0075,-0.2717,67.87,157,
528,11.77,11.99,11.05,-40.40,11.88,31.95,0,0.3601,0.0075,-0.2682,68.63,209,
529,11.35,11.56,10.64,-33.75,11.46,31.78,0,0.3520,0.0074,-0.2646,69.39,67,
530,10.94,11.18,10.90,-55.98,11.06,31.62,30,0.3440,0.0074,-0.2610,70.15,277,
531,10.53,10.77,12.42,-12.23,10.65,31.46,0,0.3360,0.0074,-0.2572,70.90,52,
532,10.14,10.38,11.08,-12.48,10.26,31.29,0,0.3281,0.0074,-0.2534,71.66,85,
533,9.76,9.99,9.30,-40.46,9.88,31.14,0,0.3201,0.0073,-0.2495,72.40,48,
533,9.76,9.99,9.30,-40.46,9.88,31.14,0,0.3201,0.0073,-0.2495,72.40,48,
534,9.38,9.63,9.29,-33.41,9.50,30.98,0,0.3122,0.0073,-0.2456,73.14,47,
535,9.02,9.26,9.03,-54.26,9.14,30.83,149,0.3043,0.0072,-0.2416,73.88,895,
536,8.66,8.89,8.99,-25.21,8.78,30.67,0,0.2964,0.0072,-0.2375,74.61,72,
537,8.32,8.54,9.95,-14.22,8.43,30.53,0,0.2886,0.0071,-0.2333,75.33,69,
538,7.98,8.22,9.67,+0.83,8.10,30.38,0,0.2809,0.0071,-0.2291,76.05,71,
539,7.65,7.87,9.24,-11.32,7.76,30.23,0,0.2732,0.0070,-0.2248,76.77,42,
540,7.33,7.55,7.24,-56.85,7.44,30.09,1828,0.2656,0.0069,-0.2205,77.47,3368,
541,7.02,7.24,6.97,-35.16,7.13,29.95,0,0.2580,0.0069,-0.2162,78.16,460,
542,6.72,6.95,8.25,-19.75,6.84,29.81,0,0.2505,0.0068,-0.2117,78.85,92,
543,6.42,6.64,7.63,-22.54,6.53,29.67,0,0.2431,0.0067,-0.2073,79.53,143,
544,6.14,6.37,6.09,-35.21,6.26,29.53,0,0.2357,0.0066,-0.2028,80.20,27,
545,5.87,6.08,5.50,-59.94,5.98,29.40,652,0.2285,0.0066,-0.1983,80.86,173,
546,5.60,5.81,6.44,-19.20,5.70,29.26,0,0.2213,0.0065,-0.1938,81.51,37,
547,5.34,5.55,6.13,-22.21,5.44,29.13,0,0.2142,0.0064,-0.1892,82.15,84,
548,5.09,5.30,5.02,-60.47,5.20,29.00,81,0.2072,0.0063,-0.1846,82.78,116,
549,4.85,5.06,4.62,-64.10,4.96,28.87,77,0.2003,0.0062,-0.1801,83.40,55,
550,4.62,4.83,4.64,-58.08,4.72,28.75,1305,0.1935,0.0061,-0.1755,84.00,7598,
551,4.40,4.61,4.25,-63.83,4.50,28.62,178,0.1869,0.0060,-0.1709,84.60,72,
552,4.19,4.39,4.67,-54.57,4.29,28.50,55,0.1803,0.0059,-0.1663,85.18,26,
553,3.98,4.18,4.82,-51.75,4.08,28.38,225,0.1739,0.0058,-0.1617,85.75,263,
554,3.78,3.97,4.70,-50.99,3.88,28.26,47,0.1675,0.0056,-0.1572,86.31,41,
555,3.59,3.77,3.29,-62.40,3.68,28.14,801,0.1613,0.0055,-0.1526,86.85,502,
556,3.40,3.58,3.38,-60.24,3.49,28.02,144,0.1552,0.0054,-0.1481,87.39,263,